PathOrder,PathKey,PathArchetype,PathCodename,PathDisplayName,PathTotalStages,Stage,StageCode,DirectiveTitle,ObjectiveSummary,TrackingMetric,TargetValue,UnlockRule,ProgressDisplay,RewardModel,DesignNotes
4,ECON,경제가,태양 장부,경제 경로 - 태양 장부,10,6,ECON-06,복리 시스템,폭넓은 경제 기반 시설 성숙도에 도달하세요.,고레벨 경제 건물 수,12 buildings at L10+,같은 경로의 이전 단계 완료,태양 장부 6/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
4,ECON,경제가,태양 장부,경제 경로 - 태양 장부,10,7,ECON-07,시대의 지렛대,중후반 생산 속도에 도달하세요.,시간당 총 수동 자원,">=50,000",같은 경로의 이전 단계 완료,태양 장부 7/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
4,ECON,경제가,태양 장부,경제 경로 - 태양 장부,10,8,ECON-08,태양의 금고,기아 압박 없이 큰 비축량을 유지하세요.,총 비축량 + 기아 점검,"Stockpile>=100,000; no starvation for 24h",같은 경로의 이전 단계 완료,태양 장부 8/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
4,ECON,경제가,태양 장부,경제 경로 - 태양 장부,10,9,ECON-09,탈희소 곡선,초고수동 생산량으로 밀어붙이세요.,시간당 총 수동 자원,">=150,000",같은 경로의 이전 단계 완료,태양 장부 9/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
4,ECON,경제가,태양 장부,경제 경로 - 태양 장부,10,10,ECON-10,경제 패권,반복 점검 동안 경제 순위 1위를 유지하세요.,경제 순위 유지,Rank #1 for 3 checks,같은 경로의 이전 단계 완료,태양 장부 10/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
6,TRADER,무역상,성간항로 중개인,무역 경로 - 성간항로 중개인,10,1,TRADER-01,거래소 개방,궤도 거래소 L1을 건설하세요.,보유 건물 레벨,OrbitalExchange>=1,게임 시작 시 이용 가능,성간항로 중개인 1/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
6,TRADER,무역상,성간항로 중개인,무역 경로 - 성간항로 중개인,10,2,TRADER-02,첫 상장,첫 시장 제안을 등록하세요.,등록한 시장 제안,>=1,같은 경로의 이전 단계 완료,성간항로 중개인 2/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
6,TRADER,무역상,성간항로 중개인,무역 경로 - 성간항로 중개인,10,3,TRADER-03,시세판 입문,시장 거래 5회를 완료하세요.,완료한 시장 거래,>=5,같은 경로의 이전 단계 완료,성간항로 중개인 3/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
6,TRADER,무역상,성간항로 중개인,무역 경로 - 성간항로 중개인,10,4,TRADER-04,스프레드 메이커,여러 활성 매물을 유지하세요.,동시 활성 시장 제안,>=3,같은 경로의 이전 단계 완료,성간항로 중개인 4/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
6,TRADER,무역상,성간항로 중개인,무역 경로 - 성간항로 중개인,10,5,TRADER-05,항로 차익,다양한 자원 쌍으로 거래하세요.,거래한 고유 자원 쌍,>=3,같은 경로의 이전 단계 완료,성간항로 중개인 5/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
6,TRADER,무역상,성간항로 중개인,무역 경로 - 성간항로 중개인,10,6,TRADER-06,시장 맥박,의미 있는 시장 거래량에 도달하세요.,시장 거래량,">=10,000",같은 경로의 이전 단계 완료,성간항로 중개인 6/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
6,TRADER,무역상,성간항로 중개인,무역 경로 - 성간항로 중개인,10,7,TRADER-07,성간 거래 상대,여러 플레이어와 거래하세요.,거래한 서로 다른 상대,>=5,같은 경로의 이전 단계 완료,성간항로 중개인 7/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
6,TRADER,무역상,성간항로 중개인,무역 경로 - 성간항로 중개인,10,8,TRADER-08,유동성 엔진,고빈도 시장 체결을 완료하세요.,완료한 시장 거래,>=25,같은 경로의 이전 단계 완료,성간항로 중개인 8/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
6,TRADER,무역상,성간항로 중개인,무역 경로 - 성간항로 중개인,10,9,TRADER-09,거시 차익,대규모 거래 작전 규모로 확장하세요.,시장 거래량,">=50,000",같은 경로의 이전 단계 완료,성간항로 중개인 9/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
6,TRADER,무역상,성간항로 중개인,무역 경로 - 성간항로 중개인,10,10,TRADER-10,거래소 정점,최상위 시장 지배력을 유지하세요.,일일 거래량 순위 유지,Top 3 for 3 consecutive cycles,같은 경로의 이전 단계 완료,성간항로 중개인 10/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
7,BIZ,기업가,컨소시엄 창립자,기업 경로 - 컨소시엄 창립자,10,1,BIZ-01,헌장 제출,첫 조직을 만드세요.,보유 조직,>=1,게임 시작 시 이용 가능,컨소시엄 창립자 1/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
7,BIZ,기업가,컨소시엄 창립자,기업 경로 - 컨소시엄 창립자,10,2,BIZ-02,위임 발행,첫 계약을 게시하세요.,게시한 계약,>=1,같은 경로의 이전 단계 완료,컨소시엄 창립자 2/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
7,BIZ,기업가,컨소시엄 창립자,기업 경로 - 컨소시엄 창립자,10,3,BIZ-03,계약자 네트워크,여러 계약이 완료되는 것을 확인하세요.,완료된 계약,>=3,같은 경로의 이전 단계 완료,컨소시엄 창립자 3/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
7,BIZ,기업가,컨소시엄 창립자,기업 경로 - 컨소시엄 창립자,10,4,BIZ-04,공적 신뢰,첫 지분 시장 거래를 실행하세요.,조직 지분 거래,>=1,같은 경로의 이전 단계 완료,컨소시엄 창립자 4/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
7,BIZ,기업가,컨소시엄 창립자,기업 경로 - 컨소시엄 창립자,10,5,BIZ-05,포트폴리오 계층,활성 계약을 동시에 최소 2개 운용하세요.,동시 활성 계약,>=2,같은 경로의 이전 단계 완료,컨소시엄 창립자 5/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
7,BIZ,기업가,컨소시엄 창립자,기업 경로 - 컨소시엄 창립자,10,6,BIZ-06,임원 영향권,많은 사령관이 계약을 수락하게 하세요.,계약을 수락한 서로 다른 플레이어,>=4,같은 경로의 이전 단계 완료,컨소시엄 창립자 6/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
7,BIZ,기업가,컨소시엄 창립자,기업 경로 - 컨소시엄 창립자,10,7,BIZ-07,자본 기세,조직 가치를 중간 목표 이상으로 키우세요.,조직 가치,">=5,000",같은 경로의 이전 단계 완료,컨소시엄 창립자 7/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
7,BIZ,기업가,컨소시엄 창립자,기업 경로 - 컨소시엄 창립자,10,8,BIZ-08,이사회 확장,폭넓은 계약 장부를 완료하세요.,완료된 계약,>=10 lifetime,같은 경로의 이전 단계 완료,컨소시엄 창립자 8/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
7,BIZ,기업가,컨소시엄 창립자,기업 경로 - 컨소시엄 창립자,10,9,BIZ-09,성간 지주,여러 조직을 소유하고 운용하세요.,보유 조직,>=2,같은 경로의 이전 단계 완료,컨소시엄 창립자 9/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
7,BIZ,기업가,컨소시엄 창립자,기업 경로 - 컨소시엄 창립자,10,10,BIZ-10,회의실 왕좌,반복 주기 동안 최고 조직 가치를 유지하세요.,조직 가치 순위 유지,Rank #1 for 3 cycles,같은 경로의 이전 단계 완료,컨소시엄 창립자 10/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
8,EXPAND,확장주의자,개척 승천자,확장 경로 - 개척 승천자,10,1,EXPAND-01,첨탑 등뼈,중앙 첨탑을 L10까지 올리세요.,중앙 첨탑 레벨,>=10,게임 시작 시 이용 가능,개척 승천자 1/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
8,EXPAND,확장주의자,개척 승천자,확장 경로 - 개척 승천자,10,2,EXPAND-02,채굴 헌장,첫 채굴 전초기지를 세우세요.,채굴 전초기지 수,>=1,같은 경로의 이전 단계 완료,개척 승천자 2/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
8,EXPAND,확장주의자,개척 승천자,확장 경로 - 개척 승천자,10,3,EXPAND-03,지휘 정점,중앙 첨탑을 L20까지 올리세요.,중앙 첨탑 레벨,>=20,같은 경로의 이전 단계 완료,개척 승천자 3/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
8,EXPAND,확장주의자,개척 승천자,확장 경로 - 개척 승천자,10,4,EXPAND-04,두 번째 지평선,두 번째 기지를 개척하세요.,보유 기지 수,>=2,같은 경로의 이전 단계 완료,개척 승천자 4/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
8,EXPAND,확장주의자,개척 승천자,확장 경로 - 개척 승천자,10,5,EXPAND-05,식민지의 그물,식민지 5곳을 소유하세요.,보유 기지 수,>=5,같은 경로의 이전 단계 완료,개척 승천자 5/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
8,EXPAND,확장주의자,개척 승천자,확장 경로 - 개척 승천자,10,6,EXPAND-06,지역 패권,지역 제국으로 성장하세요.,보유 기지 수,>=8,같은 경로의 이전 단계 완료,개척 승천자 6/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
8,EXPAND,확장주의자,개척 승천자,확장 경로 - 개척 승천자,10,7,EXPAND-07,제국 기반 시설,확장한 상태에서 강한 핵심 진행도를 달성하세요.,첨탑 레벨 + 기지 한도 사용,Spire>=20; base count >=80% of cap,같은 경로의 이전 단계 완료,개척 승천자 7/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
8,EXPAND,확장주의자,개척 승천자,확장 경로 - 개척 승천자,10,8,EXPAND-08,중심부 권리 주장,중앙 특수 타일에 식민지를 세우세요.,중앙 특수 식민지 수,>=1,같은 경로의 이전 단계 완료,개척 승천자 8/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
8,EXPAND,확장주의자,개척 승천자,확장 경로 - 개척 승천자,10,9,EXPAND-09,중앙 도달권,중앙 압박 지점의 다수 영향력을 확보하세요.,중앙 지점 장악 수,Majority held,같은 경로의 이전 단계 완료,개척 승천자 9/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
8,EXPAND,확장주의자,개척 승천자,확장 경로 - 개척 승천자,10,10,EXPAND-10,특이점 왕관,은하 중심의 블랙홀을 개척하세요.,기원 블랙홀 식민지,"Control (0,0) black-hole colony",같은 경로의 이전 단계 완료,개척 승천자 10/10,없음 (안내 전용),은하 중심 블랙홀 개척 최종 목표입니다.
9,INDUSTRY,산업가,대장간 설계자,산업 경로 - 대장간 설계자,10,1,INDUSTRY-01,산업 씨앗,핵심 산업 건물을 L3까지 올리세요.,보유 건물 레벨,Extractor>=3; Synthesiser>=3; Combinator>=3; SolarArray>=3,게임 시작 시 이용 가능,대장간 설계자 1/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
9,INDUSTRY,산업가,대장간 설계자,산업 경로 - 대장간 설계자,10,2,INDUSTRY-02,강화 프로그램,방어 및 중군사 제작 기반 시설을 업그레이드하세요.,보유 건물 레벨,IonShield>=3; HeavyShipyard>=3,같은 경로의 이전 단계 완료,대장간 설계자 2/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
9,INDUSTRY,산업가,대장간 설계자,산업 경로 - 대장간 설계자,10,3,INDUSTRY-03,전문화 프레임,문화별 산업 기술을 활성화하세요.,문화별 건물 레벨,Unique industry building >=1,같은 경로의 이전 단계 완료,대장간 설계자 3/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
9,INDUSTRY,산업가,대장간 설계자,산업 경로 - 대장간 설계자,10,4,INDUSTRY-04,주조소 템포,건설 대기열을 계속 활성 상태로 유지하세요.,건설 대기열 가동 시간,>=12h continuous,같은 경로의 이전 단계 완료,대장간 설계자 4/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
9,INDUSTRY,산업가,대장간 설계자,산업 경로 - 대장간 설계자,10,5,INDUSTRY-05,수직 확장,제국 전체의 건설 깊이를 크게 높이세요.,제국 전체 총 건물 레벨,>=120,같은 경로의 이전 단계 완료,대장간 설계자 5/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
9,INDUSTRY,산업가,대장간 설계자,산업 경로 - 대장간 설계자,10,6,INDUSTRY-06,시스템 핵심,전략 기반 허브를 업그레이드하세요.,보유 건물 레벨,OrbitalExchange>=5; IonShield>=5,같은 경로의 이전 단계 완료,대장간 설계자 6/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
9,INDUSTRY,산업가,대장간 설계자,산업 경로 - 대장간 설계자,10,7,INDUSTRY-07,거대구조 전주곡,다이슨 스피어 개발을 시작하세요.,다이슨 스피어 레벨,>=1,같은 경로의 이전 단계 완료,대장간 설계자 7/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
9,INDUSTRY,산업가,대장간 설계자,산업 경로 - 대장간 설계자,10,8,INDUSTRY-08,공장 성좌,제국 전체 건설 깊이를 더 밀어붙이세요.,제국 전체 총 건물 레벨,>=220,같은 경로의 이전 단계 완료,대장간 설계자 8/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
9,INDUSTRY,산업가,대장간 설계자,산업 경로 - 대장간 설계자,10,9,INDUSTRY-09,다이슨 급등,다이슨 전문화를 깊게 진행하세요.,다이슨 스피어 레벨,>=5,같은 경로의 이전 단계 완료,대장간 설계자 9/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
9,INDUSTRY,산업가,대장간 설계자,산업 경로 - 대장간 설계자,10,10,INDUSTRY-10,기계 도미니언,기계 제국 생산 정점에 도달하세요.,시간당 총 수동 자원,">=250,000",같은 경로의 이전 단계 완료,대장간 설계자 10/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
10,DEFENSE,방어자,보루 감시자,방어 경로 - 보루 감시자,10,1,DEFENSE-01,장막 올리기,이온 방어막 L1을 건설하세요.,보유 건물 레벨,IonShield>=1,게임 시작 시 이용 가능,보루 감시자 1/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
10,DEFENSE,방어자,보루 감시자,방어 경로 - 보루 감시자,10,2,DEFENSE-02,주둔 프로토콜,초기 본거지 방어 병력을 유지하세요.,본거지 주둔 함선,>=25,같은 경로의 이전 단계 완료,보루 감시자 2/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
10,DEFENSE,방어자,보루 감시자,방어 경로 - 보루 감시자,10,3,DEFENSE-03,첫 저항,첫 방어 전투에서 승리하세요.,방어 전투 승리,>=1,같은 경로의 이전 단계 완료,보루 감시자 3/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
10,DEFENSE,방어자,보루 감시자,방어 경로 - 보루 감시자,10,4,DEFENSE-04,돌파 불허,반복적인 방어 승리를 확보하세요.,방어 전투 승리,>=5,같은 경로의 이전 단계 완료,보루 감시자 4/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
10,DEFENSE,방어자,보루 감시자,방어 경로 - 보루 감시자,10,5,DEFENSE-05,상호 방벽,동맹 지원을 위해 지원군을 보내세요.,동맹에게 보낸 지원군,>=3,같은 경로의 이전 단계 완료,보루 감시자 5/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
10,DEFENSE,방어자,보루 감시자,방어 경로 - 보루 감시자,10,6,DEFENSE-06,요새 격자,제국 전역에 강화 방어막을 배치하세요.,이온 방어막이 활성화된 기지,>=15,같은 경로의 이전 단계 완료,보루 감시자 6/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
10,DEFENSE,방어자,보루 감시자,방어 경로 - 보루 감시자,10,7,DEFENSE-07,소모전 숙련,유리한 방어 처치 효율을 유지하세요.,24시간 방어 K/D 비율,>1.0,같은 경로의 이전 단계 완료,보루 감시자 7/10,없음 (안내 전용),각 경로는 독립적으로 진행됩니다.
