PermutationKey,Category,TargetKind,TargetParam,Label
RXVEP,Ships,UnitTrainingSpeed,Gunship,+Gunship training speed
RXVPE,Ships,UnitTrainingSpeed,Cruiser,+Cruiser training speed
VEPRX,Ships,UnitTrainingSpeed,Capital,+Capital training speed
VEPXR,Ships,UnitTrainingSpeed,Carrier,+Carrier training speed
VERPX,Ships,UnitTrainingSpeed,Siege,+Siege training speed
VERXP,Ships,UnitTrainingSpeed,Colonization,+Colonization training speed
VEXPR,Ships,UnitUpkeepReduction,LightFighter,-LightFighter upkeep
VEXRP,Ships,UnitUpkeepReduction,HeavyFighter,-HeavyFighter upkeep
VPERX,Ships,UnitUpkeepReduction,Bomber,-Bomber upkeep
VPEXR,Ships,UnitUpkeepReduction,Drone,-Drone upkeep
VPREX,Ships,UnitUpkeepReduction,Frigate,-Frigate upkeep
VPRXE,Ships,UnitUpkeepReduction,Destroyer,-Destroyer upkeep
VPXER,Ships,UnitUpkeepReduction,Colonization,-Colonization upkeep
VPXRE,Ships,UnitUpkeepReduction,Intelligence,-Intelligence upkeep
VREPX,Ships,UnitUpkeepReduction,Siege,-Siege upkeep
VREXP,Ships,UnitUpkeepReduction,Siege,-Siege upkeep
VRPEX,Ships,UnitUpkeepReduction,Intelligence,-Intelligence upkeep
VRPXE,Ships,UnitUpkeepReduction,Drone,-Drone upkeep
VRXEP,Ships,UnitUpkeepReduction,Corvette,-Corvette upkeep
VRXPE,Ships,UnitUpkeepReduction,Gunship,-Gunship upkeep
VXEPR,Ships,UnitUpkeepReduction,Cruiser,-Cruiser upkeep
VXERP,Ships,UnitUpkeepReduction,Capital,-Capital upkeep
VXPER,Ships,UnitUpkeepReduction,Carrier,-Carrier upkeep
VXPRE,Ships,UnitUpkeepReduction,Siege,-Siege upkeep
VXREP,Ships,UnitUpkeepReduction,Colonization,-Colonization upkeep
VXRPE,Economy,BaseProduction,Vulkron,+Vulkron production
XEPRV,Economy,BaseProduction,Aurelite,+Aurelite production
XEPVR,Economy,BaseProduction,Deuterium,+Deuterium production
XERPV,Economy,BaseProduction,Astra,+Astra production
XERVP,Economy,BaseStorage,Vulkron,+Vulkron storage
XEVPR,Economy,BaseStorage,Aurelite,+Aurelite storage
XEVRP,Economy,BaseStorage,Deuterium,+Deuterium storage
XPERV,Economy,BaseStorage,Astra,+Astra storage
XPEVR,Economy,BuildSpeed,,+Build speed
XPREV,Economy,ShipBuildSpeed,,+Ship build speed
XPRVE,Logistics,TravelSpeed,,+Fleet travel speed
XPVER,Combat,BaseDefense,,+Base defense multiplier
XPVRE,Economy,ResearchSpeed,,+Research speed
XREPV,Economy,UpkeepReduction,,-Global upkeep
XREVP,Economy,TransmuteSpeed,,+Transmutation speed
XRPEV,Combat,FleetAttack,,+Fleet attack multiplier
XRPVE,Combat,FleetDefense,,+Fleet defense multiplier
XRVEP,Combat,FleetSiege,,+Fleet siege potency
XRVPE,Combat,FleetRaidLoot,,+Raid loot
XVEPR,Logistics,FleetCargo,,+Fleet cargo capacity
XVERP,Combat,FleetCrit,,+Fleet crit
XVPER,Combat,FleetEvasion,,+Fleet evasion
XVPRE,Combat,FleetTracking,,+Fleet tracking
XVREP,Espionage,SpySurvival,,+Spy survival
XVRPE,Diplomacy,DiplomacyPenaltyReduction,,-Diplomacy penalties
